epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,880.684,0.51019,0.35605,1.01207,0.95859,0.91667,0.96676,0.82888,0.51479,0.34527,0.96963,0.0015083,0.0015083,0.0015083
151,886.481,0.51917,0.37207,1.01294,0.96594,0.9,0.96571,0.81811,0.52323,0.33367,0.9831,0.001505,0.001505,0.001505
152,892.364,0.52101,0.38892,1.00971,0.93706,0.90986,0.96482,0.81989,0.51409,0.34,0.9731,0.0015017,0.0015017,0.0015017
153,898.191,0.5251,0.37844,0.99787,0.95292,0.89954,0.9576,0.81915,0.48872,0.34825,0.9688,0.0014984,0.0014984,0.0014984
154,903.893,0.51906,0.36106,0.99206,0.95683,0.91111,0.95934,0.81462,0.51761,0.34646,0.98732,0.0014951,0.0014951,0.0014951
155,909.624,0.53814,0.36776,1.0037,0.90669,0.92222,0.96135,0.80743,0.52511,0.32092,0.99332,0.0014918,0.0014918,0.0014918
156,915.342,0.53696,0.38044,0.99863,0.97775,0.89444,0.96599,0.81991,0.51306,0.33773,0.98516,0.0014885,0.0014885,0.0014885
157,921.06,0.50773,0.35776,0.99603,0.94334,0.92222,0.97208,0.82311,0.51589,0.32589,0.97843,0.0014852,0.0014852,0.0014852
158,926.804,0.50719,0.36453,0.99395,0.96984,0.8931,0.96878,0.80487,0.53113,0.34811,0.99169,0.0014819,0.0014819,0.0014819
159,932.502,0.50907,0.39928,0.99852,0.93123,0.90556,0.9686,0.82626,0.50776,0.33419,0.97568,0.0014786,0.0014786,0.0014786
160,938.257,0.51017,0.35155,0.99603,0.88957,0.96111,0.97333,0.81292,0.52784,0.31432,1.00406,0.0014753,0.0014753,0.0014753
161,944.015,0.46045,0.33665,0.97741,0.92198,0.91917,0.96601,0.82021,0.51215,0.34406,1.00189,0.001472,0.001472,0.001472
162,949.719,0.50113,0.36677,1.00963,0.91379,0.94223,0.97483,0.81316,0.50251,0.37648,0.97913,0.0014687,0.0014687,0.0014687
163,955.452,0.53213,0.38796,1.01615,0.97036,0.9,0.9707,0.80492,0.52281,0.37156,0.99576,0.0014654,0.0014654,0.0014654
164,961.214,0.49184,0.36183,0.99162,0.90141,0.92222,0.95846,0.80624,0.54982,0.40744,1.00629,0.0014621,0.0014621,0.0014621
165,966.943,0.51487,0.3805,1.01495,0.91726,0.92222,0.96562,0.80818,0.52006,0.35884,0.9927,0.0014588,0.0014588,0.0014588
166,972.665,0.49763,0.36135,0.99631,0.91482,0.95468,0.97164,0.81042,0.52318,0.32783,1.0088,0.0014555,0.0014555,0.0014555
167,978.374,0.53954,0.38475,1.02562,0.93329,0.93273,0.96683,0.81943,0.52041,0.3483,1.01015,0.0014522,0.0014522,0.0014522
168,984.119,0.51272,0.34415,0.99107,0.95286,0.89846,0.95631,0.79741,0.55658,0.37486,1.02557,0.0014489,0.0014489,0.0014489
169,989.856,0.49499,0.36224,0.98838,0.94933,0.90556,0.96334,0.8107,0.55296,0.35845,1.01198,0.0014456,0.0014456,0.0014456
170,995.596,0.4955,0.35827,0.99773,0.94659,0.90556,0.96044,0.80511,0.53296,0.37107,0.9973,0.0014423,0.0014423,0.0014423
171,1001.3,0.49135,0.36152,0.99147,0.93184,0.92222,0.95543,0.81382,0.51579,0.35037,1.00375,0.001439,0.001439,0.001439
